rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
fti\fti\S240925n_correct_cal\fti_dchi6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6l\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi6NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi7NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi7NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchiMinus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchiMinus2\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi0-1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi2\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi3NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi3NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi4NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi4NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi5lNS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi5lNS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi6l\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi6NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi6NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchi7NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchi7NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_no_cal\fti_dchiMinus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_no_cal\fti_dchiMinus2\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi0-1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi2\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi3NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi3NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi4NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi4NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi5lNS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi5lNS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi6l\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchi6NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi6NS\posterior_samples.h5,0,False,False,False
