source_path,source_archive,target_path,target_basename,classification,resolution_details,target_in_release
tiger/GW240925_no_cal/tiger_GW240925_dc_l.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dc_l//samples/tiger_GW240925_dc_l.h5,tiger_GW240925_dc_l.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dc_l.h5, tiger/GW240925_cal/tiger_GW240925_dc_l.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dchi_6l.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dchi_6l//samples/tiger_GW250207_dchi_6l.h5,tiger_GW250207_dchi_6l.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dchi_6l.h5, tiger/GW250207_no_cal/tiger_GW250207_dchi_6l.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dchi_minus2.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dchi_minus2//samples/tiger_GW250207_dchi_minus2.h5,tiger_GW250207_dchi_minus2.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dchi_minus2.h5, tiger/GW250207_no_cal/tiger_GW250207_dchi_minus2.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dchi_0.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dchi_0//samples/tiger_GW250207_dchi_0.h5,tiger_GW250207_dchi_0.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dchi_0.h5, tiger/GW250207_no_cal/tiger_GW250207_dchi_0.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dchi_1.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dchi_1//samples/tiger_GW250207_dchi_1.h5,tiger_GW250207_dchi_1.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dchi_1.h5, tiger/GW250207_no_cal/tiger_GW250207_dchi_1.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dc_4.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dc_4//samples/tiger_GW250207_dc_4.h5,tiger_GW250207_dc_4.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dc_4.h5, tiger/GW250207_no_cal/tiger_GW250207_dc_4.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dc_l.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dc_l//samples/tiger_GW250207_dc_l.h5,tiger_GW250207_dc_l.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dc_l.h5, tiger/GW250207_no_cal/tiger_GW250207_dc_l.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_db_1.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/db_1//samples/tiger_GW250207_db_1.h5,tiger_GW250207_db_1.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_db_1.h5, tiger/GW250207_no_cal/tiger_GW250207_db_1.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_db_3.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/db_3//samples/tiger_GW250207_db_3.h5,tiger_GW250207_db_3.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_db_3.h5, tiger/GW250207_no_cal/tiger_GW250207_db_3.h5",MAYBE
tiger/GW250207_cal/tiger_GW250207_dchi_3.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW250207_cal/dchi_3//samples/tiger_GW250207_dchi_3.h5,tiger_GW250207_dchi_3.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW250207_cal/tiger_GW250207_dchi_3.h5, tiger/GW250207_no_cal/tiger_GW250207_dchi_3.h5",MAYBE
