det,offset_s,bandpower
H1,936.0,2.7926680586041463e-39
H1,940.0,2.440757807336233e-39
H1,944.0,7.108351229430762e-39
H1,948.0,2.1455497610249697e-39
H1,952.0,5.78759326121905e-39
H1,956.0,6.011066500841416e-39
H1,960.0,4.701474898692843e-39
H1,964.0,5.984257858933379e-39
H1,968.0,2.539805421250315e-39
H1,972.0,5.598821370021417e-39
H1,976.0,4.0533145000500935e-39
H1,980.0,5.512506721435092e-39
H1,984.0,4.566570875019904e-39
H1,988.0,6.325080245644477e-39
H1,992.0,2.6399624247558577e-39
H1,996.0,4.449139496134377e-39
H1,1000.0,1.4712597376290743e-39
L1,-688.0,1.1107181250173508e-39
L1,-684.0,3.60272547777262e-39
L1,-680.0,6.078903421892305e-39
L1,-676.0,5.905247113517328e-39
L1,-672.0,2.606620487907821e-39
L1,-668.0,1.985586533301904e-39
L1,-664.0,2.4453332602317793e-39
L1,-660.0,7.230641036793154e-39
L1,-656.0,7.21346102479708e-39
L1,-652.0,1.494561654686445e-39
L1,-648.0,2.649092650736552e-39
L1,-644.0,3.7880510239438856e-39
L1,-640.0,4.2127145488873954e-39
L1,-636.0,5.379339767087089e-39
L1,-632.0,7.109118865475092e-39
L1,-628.0,4.0032300128366395e-39
L1,-624.0,1.0678303507468557e-38
L1,-620.0,7.2978117362252e-39
L1,-616.0,5.320805052034852e-39
L1,-612.0,4.045963235238996e-39
L1,-608.0,4.663771317967393e-39
L1,-604.0,3.2860839885000876e-39
L1,-600.0,2.998318092276313e-39
L1,-596.0,3.4845550625459416e-39
L1,-592.0,2.4538792444245184e-39
L1,-588.0,1.3432858839690815e-39
L1,-584.0,3.346920600719284e-39
L1,-580.0,2.1953679894721353e-39
L1,-576.0,3.359675572074601e-39
L1,-572.0,2.6356334502978572e-39
L1,-568.0,1.990879285985375e-39
L1,-564.0,1.8212534813064418e-39
L1,-560.0,5.133824084962635e-39
L1,-556.0,4.5487131035676e-39
L1,-552.0,1.4706528592248492e-38
L1,-548.0,3.6070359984350974e-39
L1,-544.0,1.5773549686844086e-38
L1,-540.0,4.6579120904103093e-39
L1,-536.0,4.5624922840628964e-39
L1,-532.0,2.5197324922523815e-39
L1,-528.0,2.004719142967917e-39
L1,-524.0,2.141245581215562e-39
L1,-520.0,3.4620081870055e-39
L1,-516.0,1.0167370609302476e-38
L1,-512.0,4.7249310850035654e-39
L1,-508.0,1.2733889847008478e-39
L1,-504.0,2.8441758854382544e-39
L1,-500.0,7.469854095831213e-39
L1,-496.0,4.303188052992066e-39
L1,-492.0,4.160940327803179e-39
L1,-488.0,2.7333680312504607e-39
L1,-484.0,2.5336015305132834e-39
L1,-480.0,3.161531616803326e-39
L1,-476.0,6.078027304927293e-39
L1,-472.0,2.8993638277013734e-39
L1,-468.0,4.13826645375624e-39
L1,-464.0,2.6809072682363687e-39
L1,-460.0,2.601676780300028e-39
L1,-456.0,2.57081775669534e-39
L1,-452.0,4.343019890819836e-39
L1,-448.0,1.1618187794571595e-39
L1,-444.0,3.053576806608398e-39
L1,-440.0,1.5509108164354652e-39
L1,-436.0,2.2923931851419922e-39
L1,-432.0,1.8395165057759373e-39
L1,-428.0,1.9270822207179383e-39
